Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5223	-121.8121033	3.249381304	-20.09437752	-2.450730419e-003
5224	-34.32208633	2.93185854	-113.8035126	-1.254948322e-003
5225	-88.82767487	3.094078302	82.50679779	-1.393365674e-003
5226	16.58145332	3.784274578	129.774826	-3.726951545e-003
5227	-119.1938324	2.960665226	-4.798466206	-1.626542653e-003
5228	-122.5597687	4.206672192	59.79803467	-4.472250119e-003
5229	89.69677734	4.857560635	113.2791443	-3.802244319e-003
5230	87.47890472	2.252679825	-64.00447083	1.821176731e-003
5231	-116.5617905	3.186310768	37.87210083	-2.771261148e-003
5232	110.3548508	3.086367846	49.92507935	-1.471633092e-003
5233	-9.712550163	2.879839897	117.6971436	-2.205357188e-003
5234	-62.12052536	3.307137489	107.6355591	-2.130253706e-003
5235	-90.72296906	1.99686408	-51.20540237	3.816077951e-003
5236	85.84088135	1.481529832	-40.964077	7.653407287e-003
5237	-1.772362471	5.586580276	-153.0663605	-4.88390727e-003
5238	-59.38942719	0.6750856042	51.89899826	2.379275672e-002
5239	-55.95386124	8.43605423	-174.0325012	-3.168503521e-003
5240	51.54815674	-0.1714585572	-24.42884064	4.565070942e-002
5241	56.79579926	-4.597495124e-002	21.63244438	4.151183367e-002
5242	-33.08807755	-0.5741119385	27.35143852	6.844048947e-002
5243	-1.597486615	-1.04716599	-13.51294708	9.97119844e-002
5244	15.96281719	-1.020397186	-4.914123058	9.859409928e-002
5245	-15.96864605	-0.9341831207	18.05799294	9.317345917e-002
5246	106.8547058	4.561880589	91.77998352	-3.580382094e-003
5247	12.80341148	2.723935604	-115.0507355	-1.048869104e-003
5248	-28.49262047	-0.6022519469	-30.5365181	6.94879815e-002
5249	-26.10516167	3.214236975	-120.1554565	-2.617715625e-003
5250	105.2960434	3.076371908	-59.56862259	-1.737851533e-003
5251	75.45859528	3.583389282	-103.5300446	-2.674237592e-003
5252	4.020608902	2.708717346	-115.4604034	-1.244604937e-003
5253	8.530049324	2.657466412	-114.4329681	-9.025815525e-004
5254	-17.62123108	2.359894514	-108.6938171	7.245729794e-004
5255	-8.929930687	2.313524485	-109.0073929	7.402057527e-004
5256	-1.248940229	2.680571079	-115.095932	-1.201765379e-003
5257	-26.25389862	2.691833019	-112.2445221	-6.287381984e-004
5258	27.02810097	3.422575235	122.9568787	-2.8188047e-003
5259	109.154213	2.887441874	-45.37564087	-1.355816494e-003
5260	-85.92016602	2.607576847	74.90365601	6.55627693e-004
5261	15.21606636	2.541743517	-111.940155	-1.65613339e-004
5262	-0.4740591645	2.248866796	-108.330719	1.132789883e-003
5263	-9.421719551	1.969162107	-103.2802124	3.271914786e-003
5264	-20.82160568	2.99448204	-117.9625549	-2.12149485e-003
5265	91.46388245	2.660344362	-69.36936188	-1.711154473e-004
5266	96.02870941	2.762765646	-65.68990326	-6.133107818e-004
5267	-113.4585495	3.049146891	40.83415222	-2.267881064e-003
5268	105.4367142	2.922427416	-54.58291626	-1.329072868e-003
5269	-25.52538681	2.913624287	-115.8179626	-1.623742166e-003
5270	-15.76321411	2.770815372	-115.3967361	-1.473016688e-003
5271	-8.13421154	2.731283903	-115.5862656	-1.445438131e-003
5272	14.97095585	3.081804752	-120.1273804	-2.26365542e-003
5273	25.54885292	2.869802237	-115.1478653	-1.267898944e-003
5274	99.75973511	2.584244251	-54.3972435	-2.829607365e-005
5275	6.022914886	3.0216012	120.0310974	-2.37373705e-003
5276	-82.71122742	2.875071287	84.19674683	-5.08656376e-004
5277	-92.55361938	2.975832224	75.61199951	-1.06993271e-003
5278	-93.66650391	2.826002121	70.60359955	-5.437755608e-004
5279	-109.5333557	2.69099021	35.88300705	-8.093963843e-004
5280	-115.4709473	3.028542757	33.68272781	-2.246069489e-003
5281	-114.7903976	2.781834126	20.65583611	-1.234004623e-003
5282	103.4662781	2.635076761	48.82553101	2.028688905e-004
5283	-20.78534508	3.461587429	-124.7140579	-3.438643413e-003
5284	-1.599949002	3.202500582	-122.7807922	-3.012611996e-003
5285	112.287941	3.4115026	-56.58204269	-2.613421064e-003
5286	111.272316	2.933928967	41.89239502	-1.163437497e-003
5287	105.3839264	3.334580183	66.59407043	-1.876452472e-003
5288	-105.3829041	3.216654062	63.41707993	-2.269441495e-003
5289	-109.3996353	3.371658802	-60.84571075	-2.460173564e-003
5290	-39.16651917	3.355770826	-118.6624908	-2.463402692e-003
5291	-119.8889923	3.381802559	-36.50559616	-2.740782918e-003
5292	-106.7349625	2.44150424	31.91388321	5.216340069e-004
5293	-106.6231842	2.663230896	42.65398407	-5.401495728e-004
5294	93.72592926	2.382718563	-58.48323441	1.017776434e-003
5295	10.56764889	2.695042849	114.8375931	-1.081020571e-003
5296	23.18689728	2.94068718	116.7156906	-1.595029258e-003
5297	5.749248028	3.631046057	-128.6329041	-3.795466153e-003
5298	32.41417694	3.477201223	-122.4322891	-2.830080688e-003
5299	-99.87425232	2.767327785	-59.81469345	-4.866465752e-004
5300	-113.697525	2.633511066	12.5135231	-4.745378974e-004
5301	-106.7282486	2.298938036	22.81051254	1.352158608e-003
5302	-18.28133774	2.013645887	-102.8457794	3.318852279e-003
5303	-27.08094597	2.421324492	-107.7346344	8.675968857e-004
5304	28.02644157	3.962544441	130.2140503	-3.71568813e-003
5305	121.765625	3.314446926	-25.35982132	-2.717789728e-003
5306	98.76029968	3.934983015	88.8312912	-2.936712699e-003
5307	-85.00263977	2.704678297	-78.15155792	1.029917476e-004
5308	-86.70713043	2.350380659	67.62682343	2.059130929e-003
5309	-79.49360657	2.359962225	76.19617462	2.146593994e-003
5310	-76.34366608	2.770960093	87.96042633	-2.82670353e-005
5311	110.3078003	2.736929893	-35.75368118	-9.479767759e-004
5312	23.6689415	2.482987881	-109.526268	3.417671251e-004
5313	35.2793808	3.512082577	122.1390533	-2.776577836e-003
5314	-0.966620028	2.876844406	118.0487976	-2.096424345e-003
5315	9.252690315	2.209183216	-107.2897491	1.547349733e-003
5316	101.289566	2.799965143	58.37346268	-2.865792776e-004
5317	98.80360413	2.296092033	-46.25054169	1.266747364e-003
5318	-0.9105004072	1.868514895	-101.9903641	4.013865255e-003
5319	102.8300247	2.419284582	41.9400444	1.05698267e-003
5320	-10.28947258	1.69738543	-98.47479248	5.927156191e-003
5321	-33.4874115	3.47563839	-122.1206818	-3.001090605e-003
5322	-27.34680367	3.559831142	-124.8281403	-3.431234742e-003
5323	-14.31595039	3.329226732	-123.7612076	-3.290656954e-003
5324	-7.575128078	3.241899014	-123.1193237	-3.140650224e-003
5325	11.53564262	3.587567091	-127.6481094	-3.574842587e-003
5326	17.06981468	3.512007236	-125.9799194	-3.270161571e-003
5327	22.16006088	3.436761856	-124.1271896	-2.969092689e-003
5328	27.11773682	3.314901352	-121.3927841	-2.563640708e-003
5329	38.4227562	3.702451706	-123.9088516	-3.185770009e-003
5330	37.051754	3.112319469	-115.7100677	-1.830090187e-003
5331	92.59667206	3.234360456	-81.33381653	-1.992695034e-003
5332	97.51163483	3.256644487	-75.8874588	-2.081049373e-003
5333	101.7818604	3.296955109	-71.05731964	-2.210495295e-003
5334	109.6316071	3.445653677	-62.53557968	-2.618215745e-003
5335	115.1879807	3.44315958	-51.50512695	-2.741944976e-003
5336	119.7154617	3.62325716	-47.12101364	-3.126133932e-003
5337	117.7705841	3.345448971	-41.33668137	-2.655273071e-003
5338	118.4973831	3.241209269	-34.23014832	-2.482715994e-003
5339	119.2061386	3.270398378	33.24938202	-2.348695416e-003
5340	117.9398117	3.307675123	39.19766617	-2.328886418e-003
5341	117.5937271	3.490155697	47.51269913	-2.576107858e-003
5342	108.2557144	3.315746069	61.28001785	-1.901384559e-003
5343	104.8254929	3.499868155	71.63375092	-2.21100566e-003
5344	100.1809464	3.317947149	73.79724121	-1.775712124e-003
5345	20.79834175	3.529088736	125.6567001	-3.191711847e-003
5346	8.973693848	3.605082989	128.0935822	-3.627399681e-003
5347	-3.000130892	3.400141239	125.5439911	-3.498829668e-003
5348	-9.848571777	3.374502897	124.8337021	-3.49669042e-003
5349	-80.6993103	3.302890062	94.43045044	-1.971535152e-003
5350	-86.05989838	3.336870432	90.23448181	-2.099328674e-003
5351	-94.44433594	3.353775501	81.7806778	-2.252971288e-003
5352	-98.67286682	3.453014135	78.86221313	-2.597328974e-003
5353	-105.2429886	3.464339256	70.13689423	-2.858520951e-003
5354	-106.8886642	3.120588064	58.0124321	-2.075994154e-003
5355	-110.0259018	3.148541927	52.75311279	-2.355383709e-003
5356	-117.6477966	3.407484055	44.21563721	-3.328678198e-003
5357	-121.9831314	3.470964193	33.74317551	-3.558484139e-003
5358	-123.2683411	3.38437438	22.80259705	-3.253431525e-003
5359	-122.9798889	3.299080372	17.09047127	-2.977384254e-003
5360	-122.2272415	3.199407101	11.28467083	-2.645127941e-003
5361	-124.5640869	3.328922272	2.122206926	-2.902275417e-003
5362	-125.0968018	3.368815899	-3.362752676	-2.9426869e-003
5363	-122.0666809	3.203171968	-13.40748024	-2.36216234e-003
5364	-117.5013046	3.063686609	-28.01189995	-1.841601334e-003
5365	-123.9474945	3.479265213	-26.16477394	-3.025821876e-003
5366	-123.0764084	3.520249128	-32.30170441	-3.084219526e-003
5367	-114.1376495	3.444455862	-53.83482361	-2.739694435e-003
5368	-113.6659241	3.565937042	-58.57786942	-2.934562042e-003
5369	-105.1220245	3.266518354	-65.20266724	-2.106913365e-003
5370	-100.0375366	3.156239271	-70.05751801	-1.710508601e-003
5371	-86.70810699	3.419043779	-91.20439148	-2.148454078e-003
5372	-45.26239395	3.228577614	-114.5442429	-1.865554252e-003
5373	-116.2789764	3.422204018	-48.23703384	-2.749528037e-003
5374	-117.6229401	3.366032839	-42.60997391	-2.663751598e-003
5375	-103.1056137	2.609743834	48.67913818	-6.136842421e-005
5376	-100.1568069	2.667590618	56.31837463	-1.128188378e-004
5377	-127.0838928	3.529456139	-8.552770615	-3.281844547e-003
5378	12.27302551	2.100544214	105.1920166	2.139942488e-003
5379	16.9373436	2.474191427	110.6278534	1.246328466e-004
5380	-94.2024765	2.631595373	-64.82975006	2.143803285e-004
5381	-22.42682838	3.839391708	129.6404266	-4.135133699e-003
5382	-21.87029648	3.967378616	-131.4526978	-4.262309521e-003
5383	129.0821991	3.894458294	-28.98909378	-3.653102089e-003
5384	130.4425049	3.818763971	-14.90196323	-3.60688474e-003
5385	116.3552933	3.558725357	52.7966156	-2.621680032e-003
5386	112.4531784	3.922554731	70.39405823	-2.989639994e-003
5387	101.4450073	3.835722923	83.69980621	-2.785360906e-003
5388	-59.92269135	3.549479246	112.7071686	-2.787376055e-003
5389	-71.67985535	3.835840702	110.2685776	-3.213375574e-003
5390	-74.18078613	3.342621803	100.3291321	-2.082958352e-003
5391	-92.84272003	3.606438875	-88.73259735	-2.591932658e-003
5392	-69.64571381	3.883808136	-112.3153229	-3.04299593e-003
5393	-41.91584778	3.889854431	-125.4173355	-3.518132493e-003
5394	57.95358658	3.405758858	-111.4960251	-2.351758769e-003
5395	-53.18731308	3.24233222	-111.303093	-1.732609584e-003
5396	-74.10760498	3.181971788	-97.53873444	-1.484009787e-003
5397	-55.39300156	3.908683062	120.349678	-3.554508323e-003
5398	-105.7788391	2.923660517	-53.95695877	-1.211947296e-003
5399	-114.1502762	2.937226295	-33.43306732	-1.411985955e-003
5400	-99.58981323	1.897740722	24.23121262	4.57977457e-003
5401	-100.0272598	2.10838294	35.18528748	2.902699402e-003
5402	-90.18323517	2.285626173	61.08660126	2.370395232e-003
5403	-113.0141068	2.550140858	4.400659084	8.026605065e-005
5404	86.87725067	2.674726009	-75.36904907	-1.865866943e-004
5405	-94.5496521	2.332387686	-55.57717896	1.611205749e-003
5406	-17.84129715	1.68205297	-97.11392212	6.529614795e-003
5407	-27.22593117	2.070295095	-101.8269653	3.381994087e-003
5408	33.30245209	4.093664646	130.7349396	-3.763183486e-003
5409	-124.2303085	4.020971775	-50.12747574	-3.782185959e-003
5410	122.0636215	3.332366467	25.16462898	-2.622122411e-003
5411	122.0595245	3.229083538	-16.50192261	-2.564835595e-003
5412	86.4704895	3.262740612	-88.38349915	-2.019270323e-003
5413	46.27780151	3.106801271	-112.2527466	-1.681974041e-003
5414	-38.86677551	2.641464233	-107.707756	2.605227055e-004
5415	-78.05138397	2.71585536	-85.32447052	1.539265359e-004
5416	-66.92173767	3.220613241	103.2600555	-1.778520178e-003
5417	-77.08518982	1.81941998	65.48808289	6.4481874e-003
5418	-106.2086792	2.174821138	13.99998569	2.252425998e-003
5419	-73.00721741	2.249739885	80.05482483	2.925220411e-003
5420	112.6134338	2.718796015	-26.47270012	-9.695784538e-004
5421	32.73925018	2.528626442	-107.9087601	3.124849172e-004
5422	43.51702499	3.473649502	118.8871994	-2.473410685e-003
5423	95.18245697	3.268851042	79.060112	-1.644781325e-003
5424	-88.09609985	2.463758945	-68.75982666	1.137636136e-003
5425	-81.49217224	2.294996977	-72.50139618	2.182321157e-003
5426	-69.64340973	2.722058058	92.43276215	1.753598044e-004
5427	-16.40752983	3.509517908	126.0332794	-3.705413081e-003
5428	102.1661911	2.263319254	-36.72172928	1.281712088e-003
5429	19.19669342	2.072132587	-103.6721191	2.705233404e-003
5430	30.75324821	2.888118267	114.1499023	-1.196587225e-003
5431	97.04203796	2.828227282	65.94636536	-2.934685908e-004
5432	2.05422163	2.366741657	110.2026749	1.712451776e-004
5433	90.63287354	2.038640261	-52.77057648	3.012907458e-003
5434	89.39698029	1.730236411	-43.8914566	5.261246581e-003
5435	7.402339458	1.773322821	-100.0723648	4.937470891e-003
5436	96.91529083	2.373088598	52.71164322	1.57334283e-003
5437	-2.675921679	1.55073607	-96.34354401	7.257236168e-003
5438	-10.5635767	1.447630525	-93.89530182	8.81982781e-003
5439	-109.0050735	3.521385431	65.67402649	-3.105879528e-003
5440	-35.71656799	3.968652725	-128.4013824	-3.84439528e-003
5441	-29.00738335	4.005890369	-130.5819855	-4.117921926e-003
5442	-14.67565918	3.902055502	-131.582016	-4.297052044e-003
5443	-7.769721031	3.827281952	-131.1746826	-4.234398715e-003
5444	1.110872149	4.217113495	-136.4992981	-4.584975541e-003
5445	7.747872829	4.112921238	-134.9375	-4.391503055e-003
5446	13.33456135	4.079122543	-134.0593414	-4.238508176e-003
5447	18.73682404	4.026296616	-132.7159576	-4.044096917e-003
5448	23.84118843	3.96189332	-131.0362396	-3.840562887e-003
5449	28.569067	3.943991899	-129.8459625	-3.717383137e-003
5450	33.2621727	4.006216526	-129.5679474	-3.712625476e-003
5451	41.49922943	4.201523781	-129.832489	-3.83204245e-003
5452	43.52618408	3.995192051	-126.3370972	-3.559750505e-003
5453	50.01987457	3.768463373	-120.6609116	-3.151404904e-003
5454	62.03050232	3.9587152	-117.813324	-3.340413328e-003
5455	71.59798431	3.98680377	-112.6939392	-3.316932591e-003
5456	75.7498703	4.088878632	-111.5610352	-3.429070581e-003
5457	78.82577515	4.171862602	-110.7303619	-3.511801828e-003
5458	83.88470459	3.813062906	-100.8994293	-3.064973978e-003
5459	93.74754333	4.036640644	-95.98042297	-3.362969728e-003
5460	95.26434326	3.860574245	-91.15119934	-3.156930674e-003
5461	100.3746872	3.88531971	-85.99695587	-3.198104678e-003
5462	108.5599136	3.867985725	-74.99703217	-3.223769367e-003
5463	111.9636154	3.899048567	-70.58905792	-3.299465636e-003
5464	114.8865433	3.919952869	-66.27973938	-3.367607249e-003
5465	117.3060837	3.922091961	-61.95726395	-3.414499341e-003
5466	121.4362259	4.030242443	-56.84772873	-3.591435496e-003
5467	123.6362076	4.024096966	-51.68145752	-3.629228566e-003
5468	127.0242462	4.159807682	-47.93028259	-3.801012877e-003
5469	125.7232056	3.849939823	-39.24595642	-3.525902284e-003
5470	126.7061081	3.812123775	-34.05302429	-3.514006268e-003
5471	132.7946777	4.108835697	-24.88813019	-3.894077614e-003
5472	131.3422699	3.948385	-20.99452591	-3.749797819e-003
5473	131.0251465	3.814943552	-7.505864143	-3.609375795e-003
5474	129.6819916	3.770509005	15.83641911	-3.487688489e-003
5475	130.7355194	3.911420584	21.68518257	-3.633921733e-003
5476	132.8412781	4.135464668	26.46430206	-3.84263834e-003
5477	126.8780975	3.845957279	35.13633347	-3.407069715e-003
5478	124.3040466	3.891348839	45.16843796	-3.31764156e-003
5479	124.0548248	4.026083946	50.7370491	-3.406240605e-003
5480	122.7076111	4.065863609	55.19142914	-3.390684957e-003
5481	116.7694778	3.856206417	61.10169983	-3.015981987e-003
5482	114.4210281	3.858291626	65.44971466	-2.953900024e-003
5483	109.8926163	3.962069511	75.25376129	-3.001386067e-003
5484	105.7280121	3.887679815	79.37514496	-2.869762946e-003
5485	98.40935516	4.216406822	94.585495	-3.290269524e-003
5486	92.12878418	3.967497826	96.28513336	-2.981050173e-003
5487	13.02730083	4.033302784	133.4894562	-4.119895399e-003
5488	7.694944382	3.985606194	133.2770996	-4.178893287e-003
5489	-1.45568943	3.964944124	133.219635	-4.315163475e-003
5490	-6.291334629	3.977573872	133.2451477	-4.384706728e-003
5491	-10.5043335	3.903924465	132.0053406	-4.31949785e-003
5492	-19.48862648	4.105342865	133.6480255	-4.470604472e-003
5493	-26.00881577	3.556450844	125.0664139	-3.616579575e-003
5494	-38.13589478	3.832443714	125.8209457	-3.860222641e-003
5495	-61.17950058	4.003631115	118.9211273	-3.603016958e-003
5496	-65.59752655	4.03218174	116.9708633	-3.592500463e-003
5497	-75.60174561	3.896043539	108.5933304	-3.294487018e-003
5498	-87.82517242	3.885351658	98.77957916	-3.274101065e-003
5499	-92.37708282	3.893357992	94.68473053	-3.313983558e-003
5500	-99.39660645	3.877468348	86.96754456	-3.380757989e-003
5501	-106.9524994	4.035336971	80.97800446	-3.770954907e-003
5502	-110.3231201	4.076827526	77.26891327	-3.920975141e-003
5503	-112.1923599	4.005711079	72.83769226	-3.915171605e-003
5504	-114.932991	4.014245033	68.6496048	-4.014830105e-003
5505	-118.4138794	4.086342812	64.44511414	-4.213821143e-003
5506	-117.2099152	3.72065711	56.17248154	-3.829194233e-003
5507	-124.4837036	3.943401098	46.66801071	-4.344204906e-003
5508	-127.1997299	3.999576092	41.12400436	-4.449258558e-003
5509	-128.9389648	3.999465466	35.28892136	-4.473594483e-003
5510	-130.3863525	3.840082645	17.64722443	-4.109205678e-003
5511	-131.4375458	3.87532711	12.63758373	-4.141942132e-003
5512	-132.7371826	3.92905283	2.156810284	-4.13126871e-003
5513	-133.1997528	3.976682186	-6.967933178	-4.112869501e-003
5514	-132.1552429	3.921916485	-11.56705379	-3.994657658e-003
5515	-130.4498749	3.827994108	-15.89007092	-3.804821288e-003
5516	-131.2884521	4.0031991	-25.43605423	-3.994359635e-003
5517	-125.6418991	3.910046816	-42.08707809	-3.71316541e-003
5518	-130.6521301	4.030812263	-30.17346954	-3.992242273e-003
5519	-128.6081543	3.964100599	-34.73580933	-3.858083859e-003
5520	-120.8353577	3.976043701	-56.45621872	-3.642944619e-003
5521	-118.3209915	3.976219893	-61.55686569	-3.578274045e-003
5522	-115.1006012	3.919399023	-65.89258575	-3.445664421e-003
5523	-111.6145096	3.88066864	-70.68562317	-3.324163845e-003
5524	-106.6338654	3.749823809	-74.99960327	-3.051425796e-003
5525	-103.1676331	3.741009951	-79.50644684	-2.984628314e-003
5526	-100.1009445	4.012919903	-88.86797333	-3.297550371e-003
5527	-88.86371613	3.921803951	-98.49694824	-3.07813799e-003
5528	-83.62212372	3.826310873	-101.3464584	-2.931809053e-003
5529	-74.16405487	3.83058095	-108.5284348	-2.947419649e-003
5530	-64.6886673	3.810222149	-114.1173096	-2.947684145e-003
5531	-60.58660889	3.89533639	-117.621933	-3.124359995e-003
5532	-54.55634308	3.919126987	-120.8827286	-3.252667608e-003
5533	-48.11951447	3.819722414	-122.1686859	-3.2139041e-003
5534	130.2636108	3.764140606	8.791165352	-3.520157421e-003
5535	132.1432495	3.883020401	0.8122628331	-3.696823027e-003
5536	69.84912872	3.436749458	-104.9746857	-2.377126599e-003
5537	77.58417511	4.196252823	111.986084	-3.299576929e-003
5538	-60.27097702	3.197609186	-106.9015961	-1.533328439e-003
5539	-42.36233139	3.742136717	123.18367	-3.603319637e-003
5540	-108.8552017	2.899338245	-46.53842926	-1.216279925e-003
5541	-111.4881592	2.90120244	-39.90243912	-1.270022476e-003
