Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5223	-121.8121033	3.249381304	-20.09437752	4.273580544e-003
5224	-34.32208633	2.93185854	-113.8035126	6.097374808e-003
5225	-88.82767487	3.094078302	82.50679779	4.812926818e-003
5226	16.58145332	3.784274578	129.774826	7.212184755e-003
5227	-119.1938324	2.960665226	-4.798466206	4.364781944e-003
5228	-122.5597687	4.206672192	59.79803467	4.032589459e-003
5229	89.69677734	4.857560635	113.2791443	1.186365171e-002
5230	87.47890472	2.252679825	-64.00447083	2.106376814e-002
5231	-116.5617905	3.186310768	37.87210083	4.392569281e-003
5232	110.3548508	3.086367846	49.92507935	3.018231109e-002
5233	-9.712550163	2.879839897	117.6971436	7.036446732e-003
5234	-62.12052536	3.307137489	107.6355591	5.319414413e-003
5235	-90.72296906	1.99686408	-51.20540237	4.86235831e-003
5236	85.84088135	1.481529832	-40.964077	2.356718323e-002
5237	-1.772362471	5.586580276	-153.0663605	5.22043365e-003
5238	-59.38942719	0.6750856042	51.89899826	4.574013474e-003
5239	-55.95386124	8.43605423	-174.0325012	2.777804639e-003
5240	51.54815674	-0.1714585572	-24.42884064	1.173089458e-002
5241	56.79579926	-4.597495124e-002	21.63244438	1.335009983e-002
5242	-33.08807755	-0.5741119385	27.35143852	2.193370165e-003
5243	-1.597486615	-1.04716599	-13.51294708	3.079188104e-005
5244	15.96281719	-1.020397186	-4.914123058	2.801937455e-004
5245	-15.96864605	-0.9341831207	18.05799294	5.304181059e-004
5246	106.8547058	4.561880589	91.77998352	1.850168337e-002
5247	12.80341148	2.723935604	-115.0507355	8.017866094e-003
5248	-28.49262047	-0.6022519469	-30.5365181	2.207221087e-003
5249	-26.10516167	3.214236975	-120.1554565	6.277226476e-003
5250	105.2960434	3.076371908	-59.56862259	2.655371463e-002
5251	75.45859528	3.583389282	-103.5300446	1.280667311e-002
5252	4.020608902	2.708717346	-115.4604034	7.654500223e-003
5253	8.530049324	2.657466412	-114.4329681	7.876402378e-003
5254	-17.62123108	2.359894514	-108.6938171	6.890562418e-003
5255	-8.929930687	2.313524485	-109.0073929	7.28267969e-003
5256	-1.248940229	2.680571079	-115.095932	7.456157618e-003
5257	-26.25389862	2.691833019	-112.2445221	6.457924428e-003
5258	27.02810097	3.422575235	122.9568787	8.010041711e-003
5259	109.154213	2.887441874	-45.37564087	3.08795461e-002
5260	-85.92016602	2.607576847	74.90365601	4.925817848e-003
5261	15.21606636	2.541743517	-111.940155	8.269075806e-003
5262	-0.4740591645	2.248866796	-108.330719	7.682363503e-003
5263	-9.421719551	1.969162107	-103.2802124	7.312952675e-003
5264	-20.82160568	2.99448204	-117.9625549	6.557666438e-003
5265	91.46388245	2.660344362	-69.36936188	2.104980922e-002
5266	96.02870941	2.762765646	-65.68990326	2.281594425e-002
5267	-113.4585495	3.049146891	40.83415222	4.458328931e-003
5268	105.4367142	2.922427416	-54.58291626	2.772252446e-002
5269	-25.52538681	2.913624287	-115.8179626	6.417219993e-003
5270	-15.76321411	2.770815372	-115.3967361	6.845214102e-003
5271	-8.13421154	2.731283903	-115.5862656	7.159751931e-003
5272	14.97095585	3.081804752	-120.1273804	7.826437468e-003
5273	25.54885292	2.869802237	-115.1478653	8.548372534e-003
5274	99.75973511	2.584244251	-54.3972435	2.605891132e-002
5275	6.022914886	3.0216012	120.0310974	7.478461157e-003
5276	-82.71122742	2.875071287	84.19674683	4.96363009e-003
5277	-92.55361938	2.975832224	75.61199951	4.767425708e-003
5278	-93.66650391	2.826002121	70.60359955	4.769228781e-003
5279	-109.5333557	2.69099021	35.88300705	4.55767622e-003
5280	-115.4709473	3.028542757	33.68272781	4.433131835e-003
5281	-114.7903976	2.781834126	20.65583611	4.467992312e-003
5282	103.4662781	2.635076761	48.82553101	2.815086737e-002
5283	-20.78534508	3.461587429	-124.7140579	6.330587439e-003
5284	-1.599949002	3.202500582	-122.7807922	7.119425391e-003
5285	112.287941	3.4115026	-56.58204269	2.931111885e-002
5286	111.272316	2.933928967	41.89239502	3.21999687e-002
5287	105.3839264	3.334580183	66.59407043	2.487884922e-002
5288	-105.3829041	3.216654062	63.41707993	4.524861197e-003
5289	-109.3996353	3.371658802	-60.84571075	4.411750069e-003
5290	-39.16651917	3.355770826	-118.6624908	5.801507996e-003
5291	-119.8889923	3.381802559	-36.50559616	4.26856559e-003
5292	-106.7349625	2.44150424	31.91388321	4.607601113e-003
